"TIMESTAMP"	"BulkEC_5cm"	"BulkEC_10cm"	"BulkEC_20cm"	"BulkEC_30cm"	"BulkEC_40cm"	"BulkEC_50cm"	"BulkEC_60cm"	"BulkEC_75cm"	"BulkEC_100cm"
"2025-04-22 12:30:00"	0.0103882	0.0141738	0.0235035	0.0440179	0.0706065	0.0509123	0.0514199	0.1034768	0.1775733
"2025-04-22 12:45:00"	0.0092354	0.0128076	0.0241147	0.0426039	0.0683506	0.0522968	0.048198	0.1034117	0.1763194
"2025-04-22 13:00:00"	0.0077184	0.0128204	0.0252246	0.0428285	0.0711611	0.0510916	0.0502024	0.1049454	0.1797091
"2025-04-22 13:15:00"	0.00832	0.0128	0.025248	0.0427467	0.0699716	0.0516032	0.0547734	0.104258	0.178259
"2025-04-22 13:30:00"	0.0089207	0.0118899	0.0242237	0.0437297	0.0687842	0.0503236	0.0506501	0.1050555	0.1796197
"2025-04-22 13:45:00"	0.0077835	0.0117491	0.024577	0.0415872	0.0691094	0.0505259	0.0542073	0.1053101	0.180732
"2025-04-22 14:00:00"	0.0082163	0.0138326	0.0231042	0.0416003	0.0668058	0.0503494	0.051506	0.1063355	0.1781768
"2025-04-22 14:15:00"	0.0095801	0.0109588	0.0232251	0.0432934	0.06909	0.0510691	0.0504864	0.1051795	0.1769535
"2025-04-22 14:30:00"	0.0079776	0.0121716	0.024689	0.0410941	0.0683828	0.0513708	0.0514742	0.1038253	0.1784845
"2025-04-22 14:45:00"	0.0082589	0.0129911	0.0250688	0.0427158	0.0664792	0.0529183	0.0539495	0.1048333	0.1767988
"2025-04-22 15:00:00"	0.0089282	0.0136129	0.022472	0.0422857	0.067357	0.05096	0.0527453	0.1048075	0.1804878
"2025-04-22 15:15:00"	0.0090051	0.0147025	0.0244394	0.0422353	0.0671055	0.0503433	0.0519616	0.101339	0.1788634
"2025-04-22 15:30:00"	0.0069609	0.0134566	0.022273	0.0459821	0.0670786	0.0497562	0.0478186	0.1051611	0.1784874
"2025-04-22 15:45:00"	0.0089887	0.0130827	0.0225022	0.042349	0.0665066	0.0517538	0.049352	0.102122	0.1767354
"2025-04-22 16:00:00"	0.0095752	0.0145844	0.0249134	0.0432774	0.0675773	0.0513152	0.0557486	0.1044805	0.177006
"2025-04-22 16:15:00"	0.0084747	0.0142089	0.0256406	0.0425136	0.0657658	0.0494724	0.0519111	0.1038591	0.178909
"2025-04-22 16:30:00"	0.0089698	0.0105936	0.0209673	0.0436605	0.0672166	0.0504768	0.0494063	0.1030333	0.1766498
"2025-04-22 16:45:00"	0.008752	0.0129724	0.024544	0.0430921	0.0670359	0.0509463	0.04787	0.1043894	0.1782859
"2025-04-22 17:00:00"	0.0088956	0.015362	0.0223092	0.0441998	0.066913	0.0512131	0.0491445	0.1045342	0.1786965
"2025-04-22 17:15:00"	0.0108626	0.0141434	0.0231622	0.0426614	0.0681748	0.0514265	0.0583175	0.1051688	0.1760066
"2025-04-22 17:30:00"	0.0101044	0.0141959	0.0235079	0.0423513	0.068592	0.0505254	0.0486558	0.1023458	0.1755209
"2025-04-22 17:45:00"	0.0118491	0.0117637	0.0242433	0.0432506	0.0669379	0.0511029	0.0506952	0.1040302	0.1762892
"2025-04-22 18:00:00"	0.0089613	0.0153011	0.0223839	0.0427057	0.0666039	0.0499815	0.0530889	0.1053761	0.1742183
"2025-04-22 18:15:00"	0.0090731	0.0138546	0.0219784	0.0410464	0.0667217	0.0507941	0.0531472	0.1067924	0.1778864
"2025-04-22 18:30:00"	0.0086537	0.0145338	0.021652	0.0425684	0.0657234	0.0506803	0.0542611	0.1046618	0.1765697
"2025-04-22 18:45:00"	0.0122056	0.01516	0.0238958	0.0422902	0.0669473	0.0509581	0.0532072	0.1036165	0.1751355
"2025-04-22 19:00:00"	0.010429	0.0137323	0.0226344	0.0436225	0.0661646	0.0503757	0.0490183	0.1074716	0.1793246
"2025-04-22 19:15:00"	0.009553	0.0157351	0.0233171	0.0447189	0.0683672	0.0489096	0.0557991	0.1053692	0.1790768
"2025-04-22 19:30:00"	0.0099141	0.0137233	0.0224016	0.0436888	0.0650685	0.0512903	0.0499814	0.1044006	0.1749032
"2025-04-22 19:45:00"	0.0107333	0.0129012	0.0225954	0.041006	0.0655635	0.0486819	0.0512702	0.1020688	0.1749815
"2025-04-22 20:00:00"	0.0096603	0.0142586	0.0240364	0.0433806	0.06675	0.0507678	0.0538069	0.1037158	0.1768014
"2025-04-22 20:15:00"	0.0103289	0.0152173	0.0234793	0.043352	0.0656445	0.0491887	0.0533928	0.1029197	0.174973
"2025-04-22 20:30:00"	0.0107214	0.0168535	0.0243548	0.0431709	0.0672333	0.0472853	0.0490538	0.1039194	0.1751805
"2025-04-22 20:45:00"	0.0118732	0.0157555	0.0238532	0.0444163	0.0677823	0.0521016	0.0541382	0.1029598	0.1752974
"2025-04-22 21:00:00"	0.0094521	0.0131214	0.0240354	0.0409202	0.067623	0.0530227	0.0535019	0.1035551	0.1753436
"2025-04-22 21:15:00"	0.0120864	0.0146848	0.0264773	0.0429641	0.064572	0.0510025	0.0479578	0.1054584	0.1753437
"2025-04-22 21:30:00"	0.0096799	0.015753	0.0229493	0.0432189	0.067355	0.0515812	0.0529258	0.1031282	0.1761353
"2025-04-22 21:45:00"	0.0116225	0.0157595	0.0245631	0.044288	0.0673668	0.0501189	0.0458393	0.1022784	0.1745112
"2025-04-22 22:00:00"	0.0090356	0.0165967	0.0229996	0.0415065	0.0672349	0.0499165	0.0536141	0.1052088	0.1741571
"2025-04-22 22:15:00"	0.012478	0.0144282	0.0234763	0.0420255	0.0684104	0.0487376	0.0562321	0.1033278	0.1717963
"2025-04-22 22:30:00"	0.0113555	0.0161767	0.024129	0.0440703	0.0659383	0.0512418	0.0499844	0.1028979	0.1742351
"2025-04-22 22:45:00"	0.0104773	0.0147884	0.0234983	0.0442754	0.0676356	0.0503988	0.0552889	0.1032334	0.1736823
"2025-04-22 23:00:00"	0.0108097	0.0155758	0.0233732	0.043382	0.0676543	0.0508626	0.0482772	0.1025738	0.1718259
"2025-04-22 23:15:00"	0.0098132	0.0143446	0.0255065	0.0456656	0.0675491	0.0497054	0.0538756	0.1032811	0.1758641
"2025-04-22 23:30:00"	0.0121122	0.0144648	0.0245307	0.0432836	0.0638724	0.0515785	0.0530547	0.1039869	0.1681812
"2025-04-22 23:45:00"	0.0098226	0.0128765	0.0225439	0.0454474	0.0679569	0.0512663	0.0477692	0.1015781	0.1729846
"2025-04-23 00:00:00"	0.0147754	0.0160243	0.0240188	0.0427941	0.0682089	0.0518504	0.0498618	0.1039875	0.1716755
"2025-04-23 00:15:00"	0.0114038	0.0141983	0.0249961	0.0427102	0.0657192	0.0512029	0.0478575	0.1029828	0.1752538
"2025-04-23 00:30:00"	0.0116174	0.0149626	0.0236125	0.042395	0.06481	0.0514371	0.0462032	0.1033952	0.1742895
"2025-04-23 00:45:00"	0.0121523	0.0167879	0.023573	0.044694	0.0683408	0.0499696	0.0453544	0.1018511	0.1736406
"2025-04-23 01:00:00"	0.0104589	0.0181512	0.0215206	0.0435152	0.0674935	0.0500309	0.0481021	0.1022245	0.1719478
"2025-04-23 01:15:00"	0.010663	0.016853	0.024494	0.0425586	0.068147	0.0504329	0.0507429	0.1026911	0.1731685
"2025-04-23 01:30:00"	0.0118554	0.0168774	0.0239943	0.0427565	0.0651756	0.0510092	0.0518403	0.1032801	0.174038
"2025-04-23 01:45:00"	0.0136102	0.0164782	0.0249122	0.0433212	0.0678183	0.0493955	0.0471723	0.1039979	0.1720691
"2025-04-23 02:00:00"	0.0115514	0.0172093	0.0234737	0.0425178	0.0670013	0.0511737	0.0443166	0.1030909	0.1706041
"2025-04-23 02:15:00"	0.0113686	0.0167794	0.0248344	0.0435256	0.0675185	0.0517823	0.0503677	0.1032965	0.1725773
"2025-04-23 02:30:00"	0.0123215	0.0167167	0.0256383	0.0407106	0.0665485	0.0502707	0.0463602	0.1028019	0.172282
"2025-04-23 02:45:00"	0.0115782	0.0177944	0.0235749	0.0420048	0.0675451	0.0497687	0.0543357	0.1008709	0.1697565
"2025-04-23 03:00:00"	0.0108316	0.0170115	0.0234246	0.0430625	0.0675629	0.0501692	0.0504107	0.1026347	0.1717612
"2025-04-23 03:15:00"	0.0131861	0.0154744	0.0237472	0.0431058	0.0655733	0.0478626	0.0545315	0.1046439	0.1727985
"2025-04-23 03:30:00"	0.0132396	0.0156911	0.0255075	0.0439539	0.0693108	0.0512455	0.0496877	0.1018857	0.1704496
"2025-04-23 03:45:00"	0.0098753	0.0165926	0.0226616	0.0429014	0.0676319	0.0494461	0.04755	0.1034736	0.1718786
"2025-04-23 04:00:00"	0.0149734	0.0151232	0.0229271	0.0439495	0.0662953	0.0506813	0.0520468	0.1025303	0.1724428
"2025-04-23 04:15:00"	0.0114949	0.0176167	0.025317	0.0429515	0.0684426	0.0490493	0.0528023	0.1016431	0.1719917
"2025-04-23 04:30:00"	0.0111681	0.017156	0.0228424	0.0433328	0.0652663	0.0494207	0.0540502	0.104282	0.1717722
"2025-04-23 04:45:00"	0.0123259	0.0153725	0.0244684	0.0420602	0.0673499	0.050579	0.0546186	0.1021527	0.1723797
"2025-04-23 05:00:00"	0.0128122	0.0170288	0.0232694	0.0431031	0.0686366	0.0501219	0.0537833	0.1047012	0.1729177
"2025-04-23 05:15:00"	0.0122112	0.0147276	0.024553	0.0424871	0.0678388	0.0496558	0.0548715	0.1017563	0.1677165
"2025-04-23 05:30:00"	0.013359	0.0179542	0.0222441	0.0436657	0.0667767	0.049573	0.0544378	0.10426	0.1715722
"2025-04-23 05:45:00"	0.0102766	0.0182634	0.0226748	0.0426475	0.0654094	0.0500523	0.0561885	0.1029253	0.1702093
"2025-04-23 06:00:00"	0.0109661	0.0167861	0.0217881	0.042095	0.0662153	0.0512169	0.0460707	0.1038047	0.1704419
"2025-04-23 06:15:00"	0.0120829	0.0155543	0.0248247	0.0419228	0.0664006	0.0506898	0.0514629	0.1024109	0.1697538
"2025-04-23 06:30:00"	0.0131823	0.0160155	0.0254208	0.0421284	0.0681181	0.0502005	0.047166	0.103278	0.1702635
"2025-04-23 06:45:00"	0.013604	0.0162224	0.0244629	0.0436469	0.0641973	0.0483476	0.0529677	0.1017612	0.1700424
"2025-04-23 07:00:00"	0.0112513	0.0163414	0.0246868	0.041759	0.0660474	0.0508963	0.0477835	0.1057058	0.1692062
"2025-04-23 07:15:00"	0.0128228	0.0162624	0.0246044	0.046665	0.0682448	0.0483262	0.054106	0.100537	0.1716778
"2025-04-23 07:30:00"	0.0127381	0.0165458	0.0234865	0.0439162	0.0664025	0.0500881	0.0517138	0.1026405	0.1713976
"2025-04-23 07:45:00"	0.0128787	0.0155231	0.023603	0.0439431	0.0654971	0.0500038	0.0465567	0.1020518	0.1700227
"2025-04-23 08:00:00"	0.0098771	0.0167697	0.0241619	0.0427305	0.0670227	0.0526089	0.0469688	0.1013161	0.1691964
"2025-04-23 08:15:00"	0.0103146	0.0169856	0.0229449	0.0415793	0.0663882	0.0499057	0.04859	0.1013331	0.1698728
"2025-04-23 08:30:00"	0.0119615	0.0178083	0.0237365	0.0428977	0.0651661	0.0504062	0.0549745	0.1026059	0.1672856
"2025-04-23 08:45:00"	0.0121741	0.0131278	0.0241413	0.0428629	0.0660116	0.0492082	0.0491869	0.1025572	0.1671988
"2025-04-23 09:00:00"	0.012418	0.0158969	0.0234937	0.043349	0.065686	0.0501048	0.0453117	0.1002124	0.1693715
"2025-04-23 09:15:00"	0.0110186	0.0163379	0.0239824	0.0446139	0.0679411	0.0486506	0.0531185	0.1029909	0.168452
"2025-04-23 09:30:00"	0.0115188	0.0147578	0.0248166	0.0428991	0.0680926	0.0513017	0.0523382	0.1030436	0.1704479
"2025-04-23 09:45:00"	0.0103881	0.0164784	0.0201225	0.0416397	0.0669435	0.0492727	0.0498406	0.1013623	0.1681567
"2025-04-23 10:00:00"	0.0092543	0.0169682	0.0240862	0.0436586	0.0659546	0.0493321	0.049093	0.1010377	0.1680464
"2025-04-23 10:15:00"	0.0091904	0.0146808	0.0257052	0.0431543	0.065194	0.0492583	0.0468863	0.1021267	0.1678147
